PB.10001:GPA33	GPA33
PB.1473:STMN1	STMN1
PB.147322:ALDH1A2	ALDH1A2
PB.147337:LIPC	LIPC
PB.147337:ENSG00000277229	ENSG00000277229
PB.14735:EXOC8	EXOC8
PB.147352:ADAM10	ADAM10
PB.147352:SLTM	SLTM
PB.147352:RN7SKP95	RN7SKP95
PB.14736:EGLN1	EGLN1
PB.14736:ENSG00000233461	ENSG00000233461
PB.147363:RNF111	RNF111
PB.147363:ENSG00000288745	ENSG00000288745
PB.147363:ENSG00000278513	ENSG00000278513
PB.147363:MINDY2	MINDY2
PB.147363:ENSG00000259402	ENSG00000259402
PB.147363:HMGB1P51	HMGB1P51
PB.147371:ENSG00000277144	ENSG00000277144
PB.147374:CCNB2	CCNB2
PB.14740:LINC00582	LINC00582
PB.147402:MYO1E	MYO1E
PB.147402:ENSG00000259771+MYO1E	ENSG00000259771+MYO1E
PB.147403:NSA2P4	NSA2P4
PB.147404:ENSG00000259674	ENSG00000259674
PB.147418:FAM81A	FAM81A
PB.147433:GTF2A2	GTF2A2
PB.147437:PIGHP1	PIGHP1
PB.147441:BNIP2	BNIP2
PB.147445:ENSG00000259238	ENSG00000259238
PB.147476:ANXA2	ANXA2
PB.147489:RORA-AS1	RORA-AS1
PB.147489:ENSG00000259274+RORA-AS1	ENSG00000259274+RORA-AS1
PB.147489:CYCSP38+RORA-AS1	CYCSP38+RORA-AS1
PB.147489:CYCSP38	CYCSP38
PB.147489:ENSG00000273958	ENSG00000273958
PB.147547:ICE2	ICE2
PB.147547:RORA	RORA
PB.147574:ENSG00000285863	ENSG00000285863
PB.147578:VPS13C	VPS13C
PB.147583:ENSG00000274340	ENSG00000274340
PB.147584:VPS13C-DT	VPS13C-DT
PB.147585:ENSG00000274340	ENSG00000274340
PB.147609:TLN2	TLN2
PB.147619:TLN2	TLN2
PB.147632:TPM1-AS	TPM1-AS
PB.147640:TPM1	TPM1
PB.147653:LACTB	LACTB
PB.147653:RAB8B	RAB8B
PB.147661:APH1B	APH1B
PB.147669:HERC1	HERC1
PB.147669:USP3-AS1	USP3-AS1
PB.147669:ENSG00000276651	ENSG00000276651
PB.147675:USP3	USP3
PB.147681:DAPK2	DAPK2
PB.147687:CIAO2A	CIAO2A
PB.147687:PPIB	PPIB
PB.147688:CSNK1G1	CSNK1G1
PB.147688:ENSG00000259316	ENSG00000259316
PB.147688:PCLAF	PCLAF
PB.147693:OAZ2	OAZ2
PB.147696:TRIP4	TRIP4
PB.147696:SNX1	SNX1
PB.147696:ZNF609	ZNF609
PB.147696:ENSG00000259682	ENSG00000259682
PB.147696:ENSG00000243403	ENSG00000243403
PB.147696:ENSG00000265967+ZNF609	ENSG00000265967+ZNF609
PB.147696:ENSG00000265967	ENSG00000265967
PB.147696:ENSG00000264937	ENSG00000264937
PB.147696:SNX22	SNX22
PB.147707:RBPMS2	RBPMS2
PB.147711:PIF1	PIF1
PB.147726:ENSG00000287494	ENSG00000287494
PB.147738:PLEKHO2	PLEKHO2
PB.147738:ANKDD1A+ENSG00000249240	ANKDD1A+ENSG00000249240
PB.147738:ANKDD1A	ANKDD1A
PB.147738:ANKDD1A+PLEKHO2	ANKDD1A+PLEKHO2
PB.147741:ANKDD1A	ANKDD1A
PB.147744:ENSG00000270218	ENSG00000270218
PB.147746:ENSG00000259258	ENSG00000259258
PB.147769:PDCD7	PDCD7
PB.147769:CLPX	CLPX
PB.147769:ENSG00000279268	ENSG00000279268
PB.147769:PARP16	PARP16
PB.147769:SPG21	SPG21
PB.147769:ENSG00000275332	ENSG00000275332
PB.147769:ENSG00000274383	ENSG00000274383
PB.147769:MTFMT	MTFMT
PB.147769:ENSG00000278737	ENSG00000278737
PB.147769:UBAP1L	UBAP1L
PB.147783:HACD3	HACD3
PB.147783:SLC24A1	SLC24A1
PB.147784:RAB11A	RAB11A
PB.147793:DPP8	DPP8
PB.147793:DENND4A	DENND4A
PB.147793:ENSG00000259924	ENSG00000259924
PB.147793:ENSG00000259232	ENSG00000259232
PB.147793:INTS14	INTS14
PB.147793:ENSG00000275638	ENSG00000275638
PB.147818:DIS3L-AS1	DIS3L-AS1
PB.147828:DIS3L	DIS3L
PB.147830:ENSG00000260773	ENSG00000260773
PB.147830:TIPIN	TIPIN
PB.147830:SNAPC5	SNAPC5
PB.147830:ENSG00000261351	ENSG00000261351
PB.147830:ENSG00000261351+SNAPC5	ENSG00000261351+SNAPC5
PB.147842:MAP2K1	MAP2K1
PB.147842:ZWILCH	ZWILCH
PB.147863:SMAD6	SMAD6
PB.147869:SMAD6	SMAD6
PB.147869:ENSG00000274995	ENSG00000274995
PB.147884:ENSG00000277152	ENSG00000277152
PB.147908:ENSG00000259347	ENSG00000259347
PB.147908:LINC02206	LINC02206
PB.147911:SMAD3	SMAD3
PB.147922:AAGAB	AAGAB
PB.14793:ENSG00000286071	ENSG00000286071
PB.147938:IQCH	IQCH
PB.14794:ENSG00000286071	ENSG00000286071
PB.14795:ENSG00000286071	ENSG00000286071
PB.147953:IQCH-AS1	IQCH-AS1
PB.147958:MAP2K5-DT	MAP2K5-DT
PB.14796:ENSG00000286071	ENSG00000286071
PB.14797:ENSG00000286071	ENSG00000286071
PB.14799:ENSG00000286071	ENSG00000286071
PB.148:TTC34	TTC34
PB.14800:ENSG00000286071	ENSG00000286071
PB.148021:MAP2K5	MAP2K5
PB.148021:C15orf61	C15orf61
PB.148035:ENSG00000259410	ENSG00000259410
PB.148038:ENSG00000245719	ENSG00000245719
PB.148046:PIAS1	PIAS1
PB.148050:HMGN2P40	HMGN2P40
PB.148051:CALML4	CALML4
PB.148051:CALML4+CLN6	CALML4+CLN6
PB.148051:ENSG00000260007	ENSG00000260007
PB.148051:CLN6	CLN6
PB.148051:CLN6+ENSG00000260007	CLN6+ENSG00000260007
PB.148053:ENSG00000260657	ENSG00000260657
PB.148057:FEM1B	FEM1B
PB.148073:CORO2B	CORO2B
PB.148091:SPESP1	SPESP1
PB.148091:ENSG00000259286	ENSG00000259286
PB.148093:ANP32A	ANP32A
PB.148094:SPESP1	SPESP1
PB.148094:ENSG00000137808	ENSG00000137808
PB.148096:EWSAT1	EWSAT1
PB.148134:GLCE	GLCE
PB.148150:KIF23	KIF23
PB.148152:LINC02896	LINC02896
PB.148174:ENSG00000289525	ENSG00000289525
PB.148180:DRAIC	DRAIC
PB.148196:TLE3	TLE3
PB.148228:LINC02205	LINC02205
PB.14825:DISC1	DISC1
PB.14825:TSNAX-DISC1	TSNAX-DISC1
PB.14825:ENSG00000274121	ENSG00000274121
PB.14825:SPRTN	SPRTN
PB.14825:TSNAX	TSNAX
PB.14825:DISC1+TSNAX	DISC1+TSNAX
PB.148271:UACA	UACA
PB.148273:THAP10	THAP10
PB.148280:LRRC49	LRRC49
PB.148282:HMGB1P6	HMGB1P6
PB.148283:ENSG00000212664	ENSG00000212664
PB.1483:PDIK1L	PDIK1L
PB.148344:MYO9A	MYO9A
PB.148344:EIF5A2P1	EIF5A2P1
PB.148347:SENP8	SENP8
PB.148347:ENSG00000243568	ENSG00000243568
PB.148363:PKM	PKM
PB.148377:PARP6	PARP6
PB.148377:ENSG00000273025	ENSG00000273025
PB.148377:CELF6	CELF6
PB.148377:HEXA	HEXA
PB.148377:TMEM202-AS1	TMEM202-AS1
PB.148377:ENSG00000261187	ENSG00000261187
PB.148384:ARIH1	ARIH1
PB.148384:ENSG00000260534	ENSG00000260534
PB.148384:HEXA-AS1	HEXA-AS1
PB.148386:ENSG00000260144	ENSG00000260144
PB.148388:ENSG00000260672	ENSG00000260672
PB.148397:LINC02259	LINC02259
PB.148402:BBS4	BBS4
PB.148407:ADPGK	ADPGK
PB.148411:ADPGK-AS1	ADPGK-AS1
PB.148495:NEO1	NEO1
PB.1485:ZNF593	ZNF593
PB.1485:CNKSR1	CNKSR1
PB.148501:MRPS15P1	MRPS15P1
PB.148519:NPTN	NPTN
PB.148519:NPTN-IT1	NPTN-IT1
PB.148523:LOXL1-AS1	LOXL1-AS1
PB.148524:LOXL1	LOXL1
PB.148533:STOML1	STOML1
PB.148543:PML	PML
PB.148561:SEMA7A	SEMA7A
PB.148567:UBL7	UBL7
PB.148567:ENSG00000260103	ENSG00000260103
PB.148574:ENSG00000275527	ENSG00000275527
PB.148584:UBL7-DT	UBL7-DT
PB.148584:ENSG00000261775+UBL7-DT	ENSG00000261775+UBL7-DT
PB.148584:ENSG00000261775	ENSG00000261775
PB.148584:ARID3B	ARID3B
PB.148584:CLK3	CLK3
PB.148593:EDC3	EDC3
PB.148597:CSK	CSK
PB.1486:PAFAH2	PAFAH2
PB.148604:SCAMP2	SCAMP2
PB.148604:ULK3	ULK3
PB.148604:FAM219B	FAM219B
PB.148604:COX5A	COX5A
PB.148604:RPP25	RPP25
PB.148622:ENSG00000288901	ENSG00000288901
PB.148625:SCAMP5	SCAMP5
PB.148625:PPCDC	PPCDC
PB.148625:MPI	MPI
PB.14863:SIPA1L2	SIPA1L2
PB.148663:C15orf39	C15orf39
PB.148678:ENSG00000275645	ENSG00000275645
PB.148678:ENSG00000260269	ENSG00000260269
PB.148678:SNUPN	SNUPN
PB.148678:MAN2C1	MAN2C1
PB.148678:SIN3A	SIN3A
PB.148678:ENSG00000276744	ENSG00000276744
PB.148678:PTPN9	PTPN9
PB.148678:ENSG00000259931	ENSG00000259931
PB.148678:ENSG00000259931+ENSG00000260269+PTPN9	ENSG00000259931+ENSG00000260269+PTPN9
PB.148678:ENSG00000260269+PTPN9	ENSG00000260269+PTPN9
PB.148680:IMP3	IMP3
PB.148681:COMMD4	COMMD4
PB.148681:NEIL1	NEIL1
PB.148681:ENSG00000260274	ENSG00000260274
PB.148681:ENSG00000275454	ENSG00000275454
PB.148681:ENSG00000274515	ENSG00000274515
PB.148681:SNX33	SNX33
PB.148681:ENSG00000203392	ENSG00000203392
PB.148684:ODF3L1	ODF3L1
PB.148687:ENSG00000260288	ENSG00000260288
PB.148689:DNM1P35	DNM1P35
PB.148724:UBE2Q2	UBE2Q2
PB.148724:RN7SL510P	RN7SL510P
PB.148724:FBXO22	FBXO22
PB.148748:ISL2	ISL2
PB.148748:ENSG00000270036	ENSG00000270036
PB.148752:ENSG00000261232	ENSG00000261232
PB.148762:ETFA	ETFA
PB.148762:SCAPER	SCAPER
PB.148762:TYRO3P	TYRO3P
PB.148767:RCN2	RCN2
PB.148783:PSTPIP1	PSTPIP1
PB.148783:ENSG00000259652	ENSG00000259652
PB.148787:TSPAN3	TSPAN3
PB.148787:ENSG00000278991	ENSG00000278991
PB.148787:ENSG00000269951	ENSG00000269951
PB.1488:CNKSR1	CNKSR1
PB.148800:PEAK1	PEAK1
PB.148801:ENSG00000279033	ENSG00000279033
PB.148802:HMG20A	HMG20A
PB.148829:TBC1D2B	TBC1D2B
PB.148832:CIB2	CIB2
PB.148836:IDH3A	IDH3A
PB.148836:ENSG00000260988	ENSG00000260988
PB.148837:ACSBG1	ACSBG1
PB.148843:DNAJA4	DNAJA4
PB.148851:WDR61	WDR61
PB.148851:ENSG00000259562	ENSG00000259562
PB.148871:IREB2	IREB2
PB.148877:HYKK	HYKK
PB.148878:ENSG00000279373	ENSG00000279373
PB.148891:PSMA4	PSMA4
PB.148891:CHRNA5+PSMA4	CHRNA5+PSMA4
PB.148891:CHRNA5	CHRNA5
PB.1489:CNKSR1	CNKSR1
PB.148901:MORF4L1	MORF4L1
PB.148901:ENSG00000279235	ENSG00000279235
PB.148902:CTSH	CTSH
PB.148910:ENSG00000177699	ENSG00000177699
PB.148917:RASGRF1	RASGRF1
PB.148931:TMED3	TMED3
PB.148931:MINAR1+TMED3	MINAR1+TMED3
PB.148934:MINAR1	MINAR1
PB.148996:ST20-AS1	ST20-AS1
PB.148996:ENSG00000279719	ENSG00000279719
PB.149004:ST20-MTHFS	ST20-MTHFS
PB.149004:MTHFS	MTHFS
PB.149004:ENSG00000279394	ENSG00000279394
PB.149004:ENSG00000288604+MTHFS+ST20	ENSG00000288604+MTHFS+ST20
PB.149004:ENSG00000286813	ENSG00000286813
PB.149004:ST20	ST20
PB.149004:ENSG00000288604+ST20	ENSG00000288604+ST20
PB.149004:ENSG00000288604+ST20-MTHFS	ENSG00000288604+ST20-MTHFS
PB.149004:ENSG00000278600	ENSG00000278600
PB.149004:ENSG00000288604	ENSG00000288604
PB.149004:ENSG00000278600+ENSG00000288604	ENSG00000278600+ENSG00000288604
PB.149004:BCL2A1	BCL2A1
PB.149004:ENSG00000261229	ENSG00000261229
PB.149004:Metazoa+SRP	Metazoa+SRP
PB.149004:MTHFS+ST20	MTHFS+ST20
PB.149022:ZFAND6	ZFAND6
PB.149022:FAH	FAH
PB.149025:ENSG00000271983	ENSG00000271983
PB.149037:ABHD17C	ABHD17C
PB.14905:MAP10	MAP10
PB.149050:CEMIP	CEMIP
PB.14907:SIPA1L2	SIPA1L2
PB.149080:MESD	MESD
PB.149080:ENSG00000259649	ENSG00000259649
PB.149080:ENSG00000260619	ENSG00000260619
PB.149080:ENSG00000277782	ENSG00000277782
PB.149080:ENSG00000259649+MESD	ENSG00000259649+MESD
PB.149084:TLNRD1	TLNRD1
PB.149117:ENSG00000279834	ENSG00000279834
PB.149119:ENSG00000279834	ENSG00000279834
PB.149134:CFAP161	CFAP161
PB.149151:STARD5	STARD5
PB.149153:IL16	IL16
PB.149153:ENSG00000286488	ENSG00000286488
PB.149155:STARD5	STARD5
PB.149164:TMC3-AS1	TMC3-AS1
PB.149164:ENSG00000284709	ENSG00000284709
PB.149164:ENSG00000275995	ENSG00000275995
PB.149185:TMC3-AS1	TMC3-AS1
PB.149231:ENSG00000259692	ENSG00000259692
PB.14926:NTPCR	NTPCR
PB.149267:ENSG00000259692	ENSG00000259692
PB.149269:MEX3B	MEX3B
PB.149270:MEX3B	MEX3B
PB.149271:MEX3B	MEX3B
PB.149294:EFL1	EFL1
PB.149298:SAXO2	SAXO2
PB.149306:GOLGA6L9	GOLGA6L9
PB.149306:UBE2Q2P2	UBE2Q2P2
PB.149306:ENSG00000278202	ENSG00000278202
PB.149306:ENSG00000278202+UBE2Q2P2	ENSG00000278202+UBE2Q2P2
PB.149306:UBE2Q2P6	UBE2Q2P6
PB.149316:ENSG00000237550	ENSG00000237550
PB.149316:GOLGA2P10	GOLGA2P10
PB.149322:ENSG00000284803	ENSG00000284803
PB.149329:CPEB1	CPEB1
PB.149330:AP3B2	AP3B2
PB.149331:AP3B2	AP3B2
PB.149341:ENSG00000279758	ENSG00000279758
PB.149342:SNHG21	SNHG21
PB.149355:ENSG00000286817	ENSG00000286817
PB.149355:ACTG1P17	ACTG1P17
PB.149355:ACTG1P17+ENSG00000286817	ACTG1P17+ENSG00000286817
PB.149356:WHAMM	WHAMM
PB.149385:HOMER2	HOMER2
PB.149387:C15orf40	C15orf40
PB.149389:BTBD1	BTBD1
PB.149389:ENSG00000259767	ENSG00000259767
PB.149396:RAMAC	RAMAC
PB.149396:ENSG00000288850	ENSG00000288850
PB.149396:ENSG00000273747	ENSG00000273747
PB.149396:FABP5P8	FABP5P8
PB.149409:TM6SF1	TM6SF1
PB.149422:HDGFL3	HDGFL3
PB.149442:UBE2Q2L	UBE2Q2L
PB.149450:GOLGA6L4	GOLGA6L4
PB.149451:LINC00933	LINC00933
PB.149453:GOLGA2P7	GOLGA2P7
PB.149453:GOLGA6L5P	GOLGA6L5P
PB.149453:GOLGA6L5P+UBE2Q2P1	GOLGA6L5P+UBE2Q2P1
PB.149453:ENSG00000259244	ENSG00000259244
PB.149453:UBE2Q2P1	UBE2Q2P1
PB.149453:ENSG00000259244+UBE2Q2P1	ENSG00000259244+UBE2Q2P1
PB.149453:ENSG00000275120	ENSG00000275120
PB.149453:ENSG00000276278	ENSG00000276278
PB.149453:ENSG00000275120+WDR73	ENSG00000275120+WDR73
PB.149453:WDR73	WDR73
PB.149453:Metazoa+SRP+WDR73	Metazoa+SRP+WDR73
PB.149453:Metazoa+SRP	Metazoa+SRP
PB.149454:NMB	NMB
PB.149454:SEC11A	SEC11A
PB.149454:NMB+SEC11A	NMB+SEC11A
PB.149454:ENSG00000285667	ENSG00000285667
PB.149455:ZSCAN2	ZSCAN2
PB.149455:SCAND2P	SCAND2P
PB.149455:EGLN1P1	EGLN1P1
PB.149455:ZNF592	ZNF592
PB.149499:PDE8A	PDE8A
PB.149513:ENSG00000259375	ENSG00000259375
PB.149513:ADAMTS7P4	ADAMTS7P4
PB.149513:ENSG00000259407	ENSG00000259407
PB.149516:AKAP13	AKAP13
PB.149516:AKAP13+FABP5P9	AKAP13+FABP5P9
PB.149516:ENSG00000259453	ENSG00000259453
PB.149516:FABP5P9	FABP5P9
PB.149520:KLHL25	KLHL25
PB.149540:MRPS11	MRPS11
PB.149548:ENSG00000259569	ENSG00000259569
PB.149553:MRPL46	MRPL46
PB.149553:DET1	DET1
PB.149553:DET1+ENSG00000173867	DET1+ENSG00000173867
PB.149553:DET1+MRPL46	DET1+MRPL46
PB.149553:ENSG00000173867	ENSG00000173867
PB.149553:ENSG00000279945	ENSG00000279945
PB.149563:AEN	AEN
PB.149563:ISG20	ISG20
PB.149563:AEN+ISG20	AEN+ISG20
PB.149578:HAPLN3	HAPLN3
PB.149585:MFGE8	MFGE8
PB.149591:CARMAL	CARMAL
PB.1496:CEP85	CEP85
PB.149633:ABHD2	ABHD2
PB.149658:FANCI	FANCI
PB.149664:POLG	POLG
PB.149666:POLG-DT	POLG-DT
PB.149668:MIR9-3HG	MIR9-3HG
PB.149672:ENSG00000289128	ENSG00000289128
PB.149680:KIF7	KIF7
PB.149681:KIF7	KIF7
PB.149687:WDR93	WDR93
PB.149707:ZNF710	ZNF710
PB.149707:ENSG00000273691	ENSG00000273691
PB.149707:ENSG00000259677	ENSG00000259677
PB.149708:ANPEP	ANPEP
PB.149708:PEX11A	PEX11A
PB.149708:AP3S2	AP3S2
PB.149708:ARPIN-AP3S2	ARPIN-AP3S2
PB.149708:AP3S2+ARPIN	AP3S2+ARPIN
PB.149708:MESP1	MESP1
PB.149708:ARPIN	ARPIN
PB.149708:IDH2	IDH2
PB.149708:ZNF710-AS1	ZNF710-AS1
PB.149708:IDH2+ZNF710-AS1	IDH2+ZNF710-AS1
PB.149711:CIB1	CIB1
PB.149714:SEMA4B	SEMA4B
PB.149714:GDPGP1	GDPGP1
PB.149714:GDPGP1+TTLL13P	GDPGP1+TTLL13P
PB.149714:ENSG00000261147	ENSG00000261147
PB.149714:NGRN	NGRN
PB.149714:ENSG00000275674	ENSG00000275674
PB.149714:ENSG00000228998+NGRN	ENSG00000228998+NGRN
PB.149714:ENSG00000228998	ENSG00000228998
PB.149714:ENSG00000275345	ENSG00000275345
PB.149714:GABARAPL3	GABARAPL3
PB.149717:NDUFA3P4	NDUFA3P4
PB.149718:IQGAP1	IQGAP1
PB.149718:CRTC3	CRTC3
PB.149718:HSPE1P3	HSPE1P3
PB.149718:ENSG00000278370	ENSG00000278370
PB.149723:ENSG00000259212	ENSG00000259212
PB.149723:CRTC3-AS1	CRTC3-AS1
PB.149727:BLM	BLM
PB.149735:ENSG00000259704	ENSG00000259704
PB.149736:RN7SL363P	RN7SL363P
PB.14974:PCNX2	PCNX2
PB.14974:ENSG00000251508+PCNX2	ENSG00000251508+PCNX2
PB.14974:ENSG00000251508	ENSG00000251508
PB.14974:ENSG00000251508+RPS7P3	ENSG00000251508+RPS7P3
PB.149750:FURIN	FURIN
PB.149755:FES	FES
PB.149764:HDDC3	HDDC3
PB.149771:PRC1	PRC1
PB.149772:ENSG00000284946	ENSG00000284946
PB.149772:VPS33B	VPS33B
PB.149775:UNC45A	UNC45A
PB.149775:MAN2A2	MAN2A2
PB.149775:RCCD1	RCCD1
PB.149775:PRC1-AS1+RCCD1	PRC1-AS1+RCCD1
PB.149775:PRC1-AS1	PRC1-AS1
PB.149775:ENSG00000278514	ENSG00000278514
PB.149775:VPS33B-DT	VPS33B-DT
PB.149783:ENSG00000289066	ENSG00000289066
PB.149801:CRAT37	CRAT37
PB.149818:SLCO3A1	SLCO3A1
PB.14982:MAP3K21	MAP3K21
PB.149835:ENSG00000260661	ENSG00000260661
PB.149860:ENSG00000274215	ENSG00000274215
PB.149870:ENSG00000258922	ENSG00000258922
PB.149870:FAM174B	FAM174B
PB.149870:ENSG00000289200	ENSG00000289200
PB.149870:ENSG00000288872	ENSG00000288872
PB.149870:ENSG00000272298	ENSG00000272298
PB.149870:H2AZ2P1	H2AZ2P1
PB.149870:ENSG00000260361	ENSG00000260361
PB.149872:CHASERR	CHASERR
PB.149872:CHASERR+CHD2	CHASERR+CHD2
PB.149872:ENSG00000279765	ENSG00000279765
PB.149872:CHD2	CHD2
PB.149872:ENSG00000289017	ENSG00000289017
PB.149891:ENSG00000257060	ENSG00000257060
PB.1499:SH3BGRL3	SH3BGRL3
PB.149927:LINC02207	LINC02207
PB.14996:SLC35F3	SLC35F3
PB.149988:MCTP2	MCTP2
PB.150051:ARRDC4	ARRDC4
PB.150060:IRAIN	IRAIN
PB.150066:IGF1R	IGF1R
PB.150066:ENSG00000278022	ENSG00000278022
PB.150092:LUNAR1	LUNAR1
PB.1501:UBXN11	UBXN11
PB.15011:ENSG00000235605	ENSG00000235605
PB.150112:SYNM	SYNM
PB.150115:ENSG00000261616+SYNM	ENSG00000261616+SYNM
PB.150122:TTC23	TTC23
PB.15013:COA6-AS1	COA6-AS1
PB.150130:HNRNPA1P62	HNRNPA1P62
PB.150160:ENSG00000279846	ENSG00000279846
PB.150166:LYSMD4	LYSMD4
PB.15018:ENSG00000236358	ENSG00000236358
PB.15018:ENSG00000273367	ENSG00000273367
PB.15018:COA6	COA6
PB.150185:LRRC28	LRRC28
PB.150185:MEF2A	MEF2A
PB.150185:HSP90B2P	HSP90B2P
PB.150185:ENSG00000259363	ENSG00000259363
PB.150185:ENSG00000259257	ENSG00000259257
PB.150185:ENSG00000274294	ENSG00000274294
PB.1502:CD52	CD52
PB.150210:ENSG00000254744	ENSG00000254744
PB.150246:ADAMTS17	ADAMTS17
PB.15027:TARBP1	TARBP1
PB.150298:CERS3	CERS3
PB.150324:CERS3+LINS1	CERS3+LINS1
PB.150324:ENSG00000270127	ENSG00000270127
PB.150324:LINS1	LINS1
PB.150336:ASB7	ASB7
PB.150363:ENSG00000232386	ENSG00000232386
PB.150363:GCAWKR	GCAWKR
PB.150372:ALDH1A3-AS1	ALDH1A3-AS1
PB.150388:LRRK1	LRRK1
PB.150399:ENSG00000259182	ENSG00000259182
PB.150402:ENSG00000259376+ENSG00000259755	ENSG00000259376+ENSG00000259755
PB.150402:CHSY1	CHSY1
PB.150402:CHSY1+ENSG00000259376+ENSG00000259755	CHSY1+ENSG00000259376+ENSG00000259755
PB.150402:SELENOS	SELENOS
PB.150402:SNRPA1	SNRPA1
PB.150402:CHSY1+SNRPA1	CHSY1+SNRPA1
PB.150404:SNRPA1-DT	SNRPA1-DT
PB.150406:ENSG00000279970	ENSG00000279970
PB.150409:PCSK6	PCSK6
PB.150441:TM2D3	TM2D3
PB.150442:ENSG00000289028	ENSG00000289028
PB.150443:TARS3	TARS3
PB.150443:ENSG00000259658	ENSG00000259658
PB.150453:DNM1P47	DNM1P47
PB.150456:ENSG00000259553	ENSG00000259553
PB.150457:WASH3P	WASH3P
PB.150461:DDX11L10	DDX11L10
PB.150462:WASH4P	WASH4P
PB.150466:ENSG00000260803	ENSG00000260803
PB.150466:AXIN1	AXIN1
PB.150466:MRPL28	MRPL28
PB.150466:PGAP6	PGAP6
PB.150466:MRPL28+PGAP6	MRPL28+PGAP6
PB.150466:NPRL3	NPRL3
PB.150466:ENSG00000276984	ENSG00000276984
PB.150466:IL9RP3	IL9RP3
PB.150466:IL9RP3+POLR3K	IL9RP3+POLR3K
PB.150466:ENSG00000268836	ENSG00000268836
PB.150466:ENSG00000268836+LUC7L	ENSG00000268836+LUC7L
PB.150466:LUC7L	LUC7L
PB.150466:POLR3K	POLR3K
PB.150466:RGS11	RGS11
PB.15047:IRF2BP2	IRF2BP2
PB.15047:ENSG00000289057	ENSG00000289057
PB.150482:LINC00235	LINC00235
PB.150483:LINC00235	LINC00235
PB.150498:METTL26	METTL26
PB.1505:CRYBG2	CRYBG2
PB.150501:MPG	MPG
PB.150501:RAB11FIP3	RAB11FIP3
PB.150501:CAPN15	CAPN15
PB.150501:NHLRC4	NHLRC4
PB.150501:PIGQ	PIGQ
PB.150501:ENSG00000282907	ENSG00000282907
PB.150501:RAB40C	RAB40C
PB.150501:WFIKKN1	WFIKKN1
PB.150501:MCRIP2	MCRIP2
PB.150501:WDR90	WDR90
PB.150501:RHOT2	RHOT2
PB.150501:ENSG00000269482	ENSG00000269482
PB.150501:RHBDL1	RHBDL1
PB.150501:STUB1	STUB1
PB.150501:ENSG00000261659	ENSG00000261659
PB.150501:METRN	METRN
PB.150501:HBM	HBM
PB.150501:HBA2	HBA2
PB.150501:HBA1	HBA1
PB.150501:HBQ1	HBQ1
PB.150501:SNRNP25	SNRNP25
PB.150501:WASIR2	WASIR2
PB.150501:FAM234A	FAM234A
PB.150501:ENSG00000236829	ENSG00000236829
PB.150501:ENSG00000236829+NME4	ENSG00000236829+NME4
PB.150501:NME4	NME4
PB.150501:DECR2	DECR2
PB.150502:ANTKMT	ANTKMT
PB.150503:HAGHL	HAGHL
PB.150508:MSLN	MSLN
PB.150509:CHTF18	CHTF18
PB.15051:ENSG00000228830+LINC00184	ENSG00000228830+LINC00184
PB.150515:JMJD8	JMJD8
PB.150515:WDR24	WDR24
PB.150515:FBXL16	FBXL16
PB.150515:ENSG00000228201	ENSG00000228201
PB.150515:CCDC78	CCDC78
PB.150515:CIAO3	CIAO3
PB.150515:RPUSD1	RPUSD1
PB.150541:LMF1	LMF1
PB.150541:ENSG00000276931	ENSG00000276931
PB.150541:CEROX1	CEROX1
PB.150541:CEROX1+LMF1	CEROX1+LMF1
PB.150545:ENSG00000260496	ENSG00000260496
PB.150551:ENSG00000261294	ENSG00000261294
PB.150555:TPSB2	TPSB2
PB.15056:PP2672	PP2672
PB.150563:TPSAB1	TPSAB1
PB.150564:ENSG00000274751	ENSG00000274751
PB.150571:TSR3	TSR3
PB.150572:UBE2I	UBE2I
PB.150572:BAIAP3	BAIAP3
PB.150572:GNPTG	GNPTG
PB.150572:ENSG00000279930+PERCC1	ENSG00000279930+PERCC1
PB.150572:ENSG00000279930	ENSG00000279930
PB.150579:TELO2	TELO2
PB.150582:TMEM204	TMEM204
PB.150604:UNKL	UNKL
PB.150604:C16orf91	C16orf91
PB.150604:CCDC154	CCDC154
PB.150604:CLCN7	CLCN7
PB.150604:CLCN7+UNKL	CLCN7+UNKL
PB.150604:IFT140	IFT140
PB.150604:ENSG00000280231	ENSG00000280231
PB.150616:NME3	NME3
PB.150616:MRPS34	MRPS34
PB.150616:MRPS34+NME3	MRPS34+NME3
PB.150617:SPSB3	SPSB3
PB.150619:HAGH	HAGH
PB.150623:CRAMP1	CRAMP1
PB.150623:ENSG00000261732	ENSG00000261732
PB.150623:JPT2	JPT2
PB.150623:ENSG00000278987	ENSG00000278987
PB.150623:MAPK8IP3	MAPK8IP3
PB.150623:ENSG00000275092	ENSG00000275092
PB.150623:EME2	EME2
PB.150623:NUBP2	NUBP2
PB.150623:FAHD1	FAHD1
PB.150631:NDUFB10	NDUFB10
PB.150632:SNHG9	SNHG9
PB.150633:RNF151	RNF151
PB.150634:TBL3	TBL3
PB.150636:GFER	GFER
PB.150637:SYNGR3	SYNGR3
PB.150642:NPW	NPW
PB.150644:SLC9A3R2	SLC9A3R2
PB.150645:ENSG00000255513	ENSG00000255513
PB.150645:ENSG00000277602	ENSG00000277602
PB.150645:NOXO1	NOXO1
PB.150645:ZNF598	ZNF598
PB.150645:NTHL1	NTHL1
PB.150645:MSRB1	MSRB1
